sentence,target
"The headlights have auto-off which I like, but I like even more that they have an auto setting that senses when there is not enough light and puts the headlights on and off automatically.",1
Im getting great gas mileage!,0
"On the highway I get over 31 mpg, and overall Im averaging over 28 mpg ( thats with a commute that is about a 50/50 mix of highway and local driving ).",0
"Ill never enjoy driving, but I do feel comfortable and safe in my car.",1
"It looks great, and it performs wonderfully!",0
"I drive two hours a day to and from work, and the car is a joy.",0
"Coming from me, that is a huge endorsement!",0
"I have driven just about every sports car that is out there - from a Porsche 911, BMW 540i, Jaguar S-Type and even the Subaru WRX.",0
There is something about the driving experience of this Acura that is special.,0
While its true that it is not the best handling or fastest car on the planet... this is one of the very few cars that will give you performance with the reliability issues of the german cars or the spartan comfort of the WRX.,1
The exterior styling is not offensive but can look odd from some angles.,1
"From the side the TLS looks gorgeous, from the back it is quite boring and from the front it may be wierd looking.",0
Someone mentioned a corolla...,0
I kind of see the resemblence of the high beam curve outs a little.,0
"Anyways, I think it should be improved.",0
"If we look at the RL, NSX and RSX we should see that the Acura has largely ignored the TL as far as styling goes.",0
The interior is another picture.,0
I too absolutely love the interior dash.,0
Ergonomics are top-rate.,0
I would preferred real wood but the existing plastic wood does not look as bad as some make it out to be.,1
"The white faced guages are just lovely and""reverse illumuinate"" at night.",0
"The dash has external temperature readout, trip A, trip B, ODO in digital format and various other indicators for VSA ( Vehicle Stability Assist ), Cruise etc. etc.",0
There is also the Sequential Sportshift gear readout which tells you which gear # the Sportshift is currently in.,0
The SportShift feature is without argument the best out there.,1
"It surely beats anything offered by BMW, Porsche or Audi.",0
Acura has done a great job here.,0
Engine response with the SportShift feels quite close to a manual...but of course it can never be as good as the real thing.,1
Since this car is a front wheel drive it suffers from some handling problems like oversteer.,0
Launch spin as someone mentioned is also a problem.,0
"But then again, this car is not exactly a $ 100,000 Porsche 911.",1
"RWD is expensive to manufacture, at the TLs price I think they would have to remove a large chunk of standard equipment if they made it RWD.",0
The HIDs are standard on this vehicle.,0
"HIDs are currently very expensive and not even found standard on a high end Mercedes or BMW, yet Acura offers them standard.",1
They cost somewhere between $ 500-$ 700 itself!!,0
These lights illuminate the road almost like its daylight!,0
The light uses a Xenon gas chamber which is ignited with an electrical arc.,0
This is not just some blue paper over a regular halogen bulb.,1
"The""firing"" of this chamber requires an expensive device called a Ballast.",0
The beam also needs focusing which requires more electronic circuits.,0
When you first turn these lights on you can see the light being focused...it is amazing!,0
"And the blush-white rays look cool too:-) Although the Acura version does not have"" Dynamic Auto Levelling"" which is an even more complicated headlight which is optional on Lexus, BMW, Mercedes etc.",1
The space inside the car is roomy for 4 adults.,0
5 could sit for short distances.,0
The trunk is HUMONGOUS!,0
This car is LONG!,0
The tires need to be wider for the performance of this vehicle.,0
Basically I found this vehicle to be very desirable and offering a lot for the dollar.,0
If you have money to burn you may want to buy a Lexus GS430 or 540i... but for those that want to use their dollars wisely I would highly recommend the TLS.,0
HAHA!,0
"I""upgraded"" to this TLS from a""fully loaded"" BMW 328i about 5 months ago.",0
So I am going to compare this car to the 328i.,0
This will probably give a perspective to buyers who are considering a BMW also...DONT!! DONT! DONT!,0
You may want to look cool...BUT!!!... ITS YOUR MONEY!,0
Its NOT going to be cool when you start shelling out the serious $ $ $ $ for all sorts of BMW service costs!,1
First let me start by saying that I think the BMW is the most overrated pieces of garbage that exists in this universe.,0
Now I may pi$ $ some people off for saying this...but TOUGH!,0
I have owned one for 3 years so I know what I'm talking about.. many of thost who speak so highly of the BMW have never even owned one!!,1
HA! The BMW does not even come with leather standard...or power seats.,1
"So why is it so COOL, because of some idiotic badge on the hood???",0
That is a really stupid way of thinking!,0
"Sure the BMW handles great, but there are other cars that do that too for much less money, enough said!",0
Now for the TLS.,0
This is one heck of a car!,0
I am totally in love with it.,0
Everytime I get behind the wheel this car begs me to drive it to its potential.,0
The acceleration is fabulous.,0
"The auto will do a pretty fine job, but if you want total control you can manually engage the sequential sportshift mode... this provides more fun than should be legally allowed in a automatic transmission vehicle!!!",0
The SportShift SIMPLY BLOWS AWAY the BMW automanual CRAP.,0
The engine response is far better in the Acura.,0
Shifting also feels closer to a manual.,0
The interior is FAR FAR superior to any BMW or Audi I have seen.,0
"It is very modern, the instrumentation is white faced and changes to black at night.",0
The lighting at night is incredible!,0
Other interior materials are terrific.,0
The seats could be a little bit more supportive but overall they are great with the perforated leather.,0
I specially like the sporty headrests...they simply look gorgeous!,0
The storage spaces are plentiful.,0
There are two cup holders in the center console and two HUGE storage compartments under the armrests.,0
There is a coin area and plenty of storage in the door pockets also.,0
The Acura Navigation system is the best out there.,0
"It is very easy to use, accurate and has a plethora of options.",0
The graphics are great.,0
"Now, the voice guidance is a little irritating because it is a shrill Japanese accent ( no offense to anyone:-) But this is inappropriate for the American market!",1
I am told that the voice data is on the DVD so the new DVD release will change that!,0
The BOSE system is pretty good.,0
"I would prefer a little more power/bass but the sound is very clear, there is no distortion even at very high volume.",1
"The body does ding a little too easily, but this happened on my 3 series also.",0
"As for fuel economy, I am getting 20-21 mpg in the city ( perpetual LA stop and go traffic ).",0
This is another amazing feat of Acura engineering...to achieve this in a high compression V6.,0
Obviously you will be using premium fuel on the Type-S.,0
During the time I have owned this vehicle it has not given me a SINGLE problem.,1
"In fact, I need to now go and open the hood because I have not opened it for so long I forgot what the engine looks like:-) But of course I clearly remember what the BMW engine looks like because half the time something was malfunctioning inside!",1
Are there better choices out there for the segment...resounding NO!,0
For any price...Sure!,0
"You could buy a GS430 which is also a FANTASTIC vehicle, but its $ 52K fully loaded, thats a whole $ 20 ( TWENTY THOUSAND DOLLARS!!! ) more!",0
A world apart in price!,0
"And for those comparing it with the Infiniti I35, NO!",0
The I35 is a very very nice vehicle but it appeals to a completely different type of driver so NO comparison!,1
"The I35 is"" cushier""... more like a Lexus.",0
The Acura is a bit less comfort but more handling!,0
"Finally, I would like to comment on CSXperts review.",0
It is a gross exaggeration of the facts!,0
The ride is a bit firm obviously but it is reasonably comfortable.,0
Everybody with an IQ over 5 knows and thinks this is a VERY COOL car!,0
"Great value, performance, luxury and low maintainence costs!",0
Thank you Acura for coming out with such an OUTSTANDING vehicle!,0
I love this car but unfortunately I have decided that I will sell it in another year as it does not suit my purpose... I am looking at purchasing an SUV.,1
"There is so much debris on the freeway its insane, yesterday I almost ran over a tire...Phew!",0
"I need vehicle that can tough it out and also the 4x4 in the mountains, so maybe a Nissan Pathfinder, QX4 or why not an Acura MDX???:-)",1
After my SAAB story with the 9-5SE ( please see that review for all the gory details ) I decided to return to the warm bosom of reliability and high resale value of Japanese-made automobiles.,0
"Just to rule out alternatives, I drove 15 cars in total.",0
"If you are only interested in the TL, you can scroll down to see the TL review.",0
"The Mercedes C320 ( a disappointment, terrible ride ) Volvo T6 ( very nice car, but still too skittish for a Swedish make )",0
"Audi S4 ( awesome car, but questionable reliability )",0
"Three Lexus models ( RX300-didn't want SUV, IS-300, cool car but no leather option and didn't want RWD, and the GS300, which is a really nice car, but glove compartment-mounted CD player ruled it out )",1
"Toyota Camry, a disappointment, would like to see a sports version ( I'm glad to see they finally updated it, it was overdue )",0
BMW 330xi was nice but way too cramped and questionable reliaiblity.,0
"Mazda Millenia was also nice, but was missing key features and had no significant cost advantage",1
"VW Passat, which I was very impressed with, but again questionable reliability.",0
"Maxima 20th anniversary edition, an awesome car with perhaps the best V6 engine ever made, with a long history, but it had no cost advantage over the Infiniti I30, which was the car that gave the TL a run for the money, but the TL won out with more powerful engine, higher resale and lower insurance costs.",1
"I took delivery in March, of one of the very first TL-S' available.",0
The TL-S is an incredibly FAST car.,0
"I've seen 0-60 numbers in the 6.2-6.3 second range, and I have no trouble believing it.",1
"When I press the accelerator, the 260 horses are ready to run.",0
"It's great for evasive maneuvering, which I've had to use twice.",0
"Once was literally ten minutes after I picked up the car, when an adjacent car literally crashed into the car in front of him, while gawking at my new TL.",0
I swear this is a true story.,0
I almost had a heart attack.,0
"Luckily, none of the flying debris hit me.",1
"As with most Japanese makes, the fit and finish were almost flawless on delivery.",0
"There is one small flaw in the paint, a bubble on the front fender, less than the size of a pinhead.",0
So far I've found no other flaws in the car.,1
"The minor cosmetic differences in the'02 go a long way in improving the looks of the car, which many consider bland.",0
"These changes include a reshaped headlight cluster, integrated fog lights ( long overdue ), clear reverse light lenses and a larger, toothier grille.",0
"I chose the silver exterior, with dark ebony interior.",0
"The fake wood for this exterior color option is black only, which looks better in my opinion than the tan with brown wood, which is obviously fake.",0
"I know the black wood is also fake, but somehow I think it's better looking than the fake brown wood.",0
Another advantage to the TL is the flat pricing structure.,0
"You get a lot of""bang for the buck"" with the TL.",0
Just compare it to any of the cars I mentioned above and you will find it's extremely well equipped.,0
"Basically the only option for this car is the navigational system, which I could not justify paying $ 2000 for.",1
Some of the key features include:,0
-3.2 liter aluminum alloy 24-valve SOHC V-6,0
"-260 hp ( Type-S), 225hp for the TL",0
#NAME?,0
#NAME?,0
#NAME?,0
#NAME?,0
#NAME?,0
#NAME?,0
#NAME?,0
#NAME?,0
-Heated front seats with 8-way power driver seat,0
#NAME?,0
#NAME?,0
#NAME?,0
( excellent for parallel parking ),0
"-auto up/down driver's side window, very handy",0
The engine is incredibly smooth and shifts without hesitation.,1
"Despite its power, you can barely feel it running while idling.",0
"The seats are very comfortable and there are two memory settings coded to the keyless entry fob you carry, which is a nice feature.",0
"The car has excellent road manners and I've found it to be a smooth and comfortable ride, despite the sports-tuned suspension.",0
"The rear seats sit a little low, but there are rear air vents and an armrest with two cupholders for passenger comfort.",0
The back seat has more legroom than you would anticipate and is actually quite comfortable.,0
The cabin is quiet and road noise is minimized through lots of soundproofing.,0
"The 6-disc in dash CD player is very convenient and the 7-speaker Bose sound output is quite good, although I would like to be able to crank it a little louder.",0
But keep in mind that I came down from a 12-speaker 240-watt Harmon Kardon system.,0
"There are plenty of handy storage bins, including in the door, behind each seat, and a double console cover, with a deep cover ( for kleenex and CDs ) and shallow cover ( for pens, etc. ) over a single storage compartment in the center console.",0
There is an additional power outlet in the center console.,0
"The cup holders are excellent and hold a variety of sizes, from a Coke Can to the largest fast-food cups.",0
I have not yet found a cup size that won't fit in one of the two cup holders.,0
WARNING!!,0
"If you buy this car, DO NOT use the coin holder in front of the shifter for coins.",1
"I know that is its intended purpose, but I had a coin that somehow slipped up behind the compartment, preventing it from closing, and was about to have to take the entire console out to retrieve.",0
"Only after a couple of hours of cramming wire hangers and fingers up into the slot, was I able to get the loose coins out.",0
"This is a common problem, based on what I've read on the internet, and most dealers will not repair it without charging you labor, since it's not a failure.",1
"So whatever you do, don't put any coins in the coin holder.",0
"There is also a nice cubby hole in front of the shifter for chapstick and keys, etc.",0
The interior is well laid out.,0
The one problem I have with the interior is the foot emergency brake.,0
I would much rather have a hand emergency brake.,0
"If the foot brake released when the car was put into gear, it wouldn't be so bad, but you have to push it, and I've found there is a fine line between fully engaging the brake and pushing it too far, to where it releases without engaging.",1
This can be extremely frustrating until you get a feel for it.,0
"The key fobs have excellent range, and include a power release for the trunk deck.",0
I've had this car since March and will continue to update the review as warranted.,0
May 2001-I just took the car to the dealer for a recall of the power window control unit ( which I have not had any problems with ).,1
They had it replaced in less than 30 minutes.,0
"July 2001-I just rolled over 3,000 miles and changed the engine oil myself.",0
The drain plug and oil filter are the easiest I've ever accessed on any car.,0
"They are both directly over the drain bottle, so its very easy to drain the oil.",0
I was done in less than 10 minutes.,0
The engine layout seems logical and all the necessary reservoirs and tanks are clearly labeled.,0
"January 2002-I just rolled over 10,000 miles and have changed the oil 3 times and rotated the tires once.",0
I've had no mechanical difficulties of any kind.,1
"In fact, I haven't had any problems of any kind.",0
The car is great for road trips.,0
"I completely disagree with the person who wrote the review titled"" Acura TL Type-S: Lost any fillings lately?"".",0
Specifically there are a few things I want to point out.,0
"First, he said the ride is horrible.",0
This is completely untrue.,0
"I have one, drive it every day, and if anything the ride is too soft.",0
Fillings falling out?,0
"Perhaps he is used to riding around in a 1976 Cadillac Sedan DeVille, floating across the pavement with no connection to the road?",1
Perhaps he needs a new dentist.,0
The ride is hardly rough.,0
He also states that it doesn't really do as well as it should for a front driver.,0
"Perhaps he should either drive one, or read what Road and Track said when they did an extensive review of the Type-S.",0
"Namely that it does NOT feel like a front driver at all, despite the fact that it is.",1
Value.,0
"He mentions that it's too bad that there isn't a $ 30K performance sport sedan, and refers to BMW, Maxima and I30.",0
First the BMW.,0
What BMW can you buy that costs $ 31K?,0
None.,1
"With an automatic, and a somewhat modest option list they easily soar past $ 35K.",0
How about a nice 330i?,0
"$ 40K for a car with 35 HP LESS than the Acura, and less torque.",0
"Ok, to save money, drop down from the BMW 3.0 to the smaller engine.",0
Have you driven one?,0
I have ( 328is ).,0
They have NO low-end torque and feel like an economy car compared to the Type-S.,1
Additionally have fun spending a thousand bucks + for snow tires and rims for the BMW.,0
"Sure the handling is superior to the Acura, but for $ 9K I think I'll take a couple of European vacations.",0
"The bottom line, the value the Type-S has is very high, especially compared to the BMW.",0
"Ok, how about the Maxima?",0
Have you driven this car?!,0
I have driven the 2004 SE and it is SOFT.,0
Feels more like an Accord.,0
"Great engine, lots of torque, and very quick, but clearly geared towards lots of highway miles and not back road driving.",1
Bottom line is this car is a HUGE value.,0
"Absolutely amazing engine, and one of the best front driving cars I have ever driven.",0
"Don't just take my word for it, read the magazines and hear what the""professionals"" have to say.",0
/Gene,0
"After a strong start back in the late 80s, Acura threatened to fade into obscurity with the appearance of Lexus and the resurgence of the German luxury brands.",0
Acuras decision to junk real model names in favor of two-letter designations did nt help.,0
"But now theyve found a new formula, and it seems to be working for them.",0
"Like the successful 1999 redesign of the TL, with which it shared a Honda Accord-based chassis, the 2001 CL Type S came standard with everything except a navigation system ( even a Bose sound system with a six-disk in-dash CD changer! ).",0
"Yet it was also priced far less than the European competition at just over $ 30,000.",0
Nothing significant has changed for 2002.,0
The most notable standard feature is a 3.2 liter six the produces 260 horsepower at a high but still accessible 6100 RPM.,0
"This is 35 more than the 225 of the standard CL and of the new 3.0 liter in the roughly $ 10,000 more expensive BMW 330Ci.",0
Only one transmission is available: a five speed automatic.,0
"Perhaps in an attempt to placate those who might wonder where the manual is, this automatic comes even in the regular CL with a sequential sportshift,  which supposedly offers the feel and control of a manual without the bother of a clutch.",1
Update: For 2003 a manual is finally available in the CL-S.,0
"I have driven this car, and posted a review of it under the listing for the 2003 CL-S here: http://www.epinions.com/content_72728153732",0
So the CL Type S poses as a serious yet much less expensive challenger to the BMW 330Ci.,0
Does it really measure up?,0
"To find out, I took one for a drive.",0
Styling,0
The more serious mission of the second-generation CL is evident in its styling.,0
"The first CL was attractive, even pretty.",0
"Its tall, airy greenhouse ( window area ) and artfully tapered rear end gave it a unique appearance ( except from the front, which had a generic Honda look to it ).",0
But the styling of the first CL did not exude substance and luxury.,1
"Its styling connoted playfulness, lightness, and perhaps agility.",0
"Yet, despite some of the flavor of the late BMW 6-series, it didn't have the look of a serious luxury car.",0
Acura has fixed this with the new car.,0
Though roughly the same sizethe largest dimensional change is a two inch increase in lengththe new car appears much larger.,0
This is largely the result of shrinking the greenhouse and bulking up the body.,0
These looks are not entirely deceiving.,1
"Though similar in size, the new car is about 500 lbs.",0
heavier.,0
These changes come with a cost: the new styling is not as distinctive.,1
"What designers refer to as the DLO ( for daylight opening, the side window outline ) is strikingly similar to the last Nissan 240SX, which failed to stand out against other coupes and failed in the marketplace.",0
"Where the old DLO curved up quite a bit towards the rear, the new one curves subtly down.",0
The rear end of the car is no longer strongly tapered.,1
It now looks much like that of many other cars.,0
I personally lament these styling changes.,0
"But I must admit they make grant the new CL a much more substantial, more serious, considerably more luxurious appearance.",0
To hammer this message home the CL Type S rides on 17 wheels with a strong five-spoke design.,0
No multitude of frilly thin spokes or cross-mesh design here.,1
"On the inside the serious performance message is conveyed by perforated leather, metallic gray gauge faces, and, with the ebony interior, black wood. ",0
( The parchment interior comes with the brown wood of the standard CL. ),0
"The last, similar in appearance to that found in high performance Jags and Mercedes, covers large portions of the door panels and center console.",0
"If you want still more of it, the dealer can add a piece around the instruments.",0
"How can Acura afford such extravagance in a $ 30,000 automobile?",0
Easy: unlike that in the European brands this wood  is plastic.,0
"The tan interior come with more traditional-looking wood that is a bit orange for my tastes, but it seems to work for many people.",0
Especially those who dislike the trendier gray variety.,0
Accommodations,0
I actually prefer the interior to that in the BMW in many ways.,0
"Because the cowl is low in the traditional Honda fashion and the cockpit is a couple of inches wider, the CLs interior manages to feel more open than the BMWs while still feeling driver-oriented.",0
"The view forward is especially nice, with the steering wheel well below even a short drivers field of vision.",0
Ive never warmed to the extremely high position of the wheel and instruments in BMWs.,1
"I like to see the instruments, but I mostly want to see OUT.",0
"Though the side windows are much shorter than in the old CL, the beltline is not uncomfortably high, about on par with the BMW.",1
The front seats not only look impressive but are very comfortable and hold you in place very well due to their large bolsters.,1
They are slightly softer than the traditionally hard ( though still comfortable ) seats in the BMW.,0
My only complaint about the driving position is that the steering wheel feels a bit close.,0
"Since another reviewer felt it was too far away, it seems a telescoping wheel is in order.",0
"Though the Acura is over a foot longer and a few hundred pounds heavier than the BMW, and simply feels like a significantly larger car, it is similarly tight in the rear seat.",0
"Though Im only 59, I barely fit in the rear seat behind a similarly sized driver.",0
My hair brushed the rear glass.,0
Apparently the extra length and weight went towards the flowing exterior lines rather than the interior.,0
At least it is easy to get into the rear seats compared to other coupes.,0
"Lift the handle on the side of either seat, and it glides forward.",0
"Tilt the seat back, and it automatically returns to its previous position.",0
The CL does not pretend to seat five: the center of the rear seat is occupied by a storage console.,1
The major problem with the rear seat is that it does not fold downthere is only a pass-through behind the armrest.,1
The BMW does offer this feature.,0
I personally would not want a car without it unless I planned never to use it to carry moderately large objects.,1
"In both of the cars I own the rear seat folds down, and Ive used this feature many times to carry large objects such as book cases and cribs.",0
On the Road,0
The Type Ss throttle is tuned to make the car jump the moment you tip into the throttle.,0
This is both good and bad.,0
It conveys the capabilities of the car.,0
"But it also makes a smooth, subtle launch difficult.",0
Your passengers might think you're having trouble growing up.,0
"Then again, this might be the image you are after.",0
"Give it gas, and the engine immediately responds.",0
"Unlike some high performance engine variants, that in the Type S is not just a high RPM wonder than offers few benefits over the standard CL engine in regular driving.",1
"This engine does nt only make 35 more horsepower on the high end, 500 RPM further up the tach.",0
"It also has a higher, flatter torque curve through the mid-range, so it will feel stronger even in relaxed driving.",0
The torque peak is 16 lbs.-ft.,0
"higher, and is reached 1200 RPM sooner.",0
This paradox is made possible by a sophisticated two-stage manifold not found in the standard CL.,1
"As a further bonus, the Type S engine earned the same EPA numbers as the 225 horsepower one: 19/29.",0
Honda certainly has a way with engines.,0
I should add that the engine also makes nice sounds.,0
"When pushed, it does not attempt to be silent.",1
"Fortunately, the mellow growl at high RPM connotes refined power.",0
"I personally prefer the slightly more throaty, more mechanical, sportier voice of the BMW 3 liter, but this engine sounds more luxurious.",0
Anyone interested in this type of car will rev the engine from time to time just to hear it burble.,0
I really wish a manual transmission were available in this car.,0
That ( and a hand-operating parking brake ) would solidify its claim to be a serious contender among performance coupes.,0
"It would also make the car more fun to drive, at least for me.",0
"The"" sportshift"" was easy to use: just slide the lever into a short slot to the left of"" D,"" and then push forward to upshift and pull backward to downshift.",0
This allows you to quickly and easily control which gear you are in.,0
"But, at least for me, nothing can replace the responsiveness and""at one with the car"" feeling you get from a good clutch and manual shifter.",0
"As I've already mentioned, this wish has now been granted.",0
In my review of the 2003 I describe the happy results.,0
The key challenge faced by Hondas engineers was surely how to manage 260 horsepower through the front wheels.,0
"The key difference between this car and the BMW is that this car, due to its Accord roots, is front-wheel-drive.",0
"Generally, channeling a great deal of power through the front wheels results in torque steer: the car pulls to one side during hard acceleration.",0
"Remarkably for such a powerful front driver, torque steer is all but absent.",0
"Under hard acceleration the steering acquired an additional degree of stiffness ( partly an artifact of the way the variable assist is set up ), but it did not tug to one side or the other.",1
Many other car companies should study this car to figure out how this was done.,0
"On the whole, handling was also impressive for a front-driver, or a rear-driver for that matter.",0
"Though weight distribution is far from even, understeer in hard turns is moderate ( though always present ).",0
"The nicely-tuned suspension, despite tires with only a 215 mm cross-section, sticks very well.",0
"I drove this car hard along a curvy road, yet felt well within the limits of the car.",0
"The front-drive layout, not matter how well it is tuned, simply does not allow the kind of power-on oversteer that can readily be had in the BMW.",1
Otherwise this is a fine chassis.,0
"Not quite as tossable, but very stable and enjoyable enough for most drivers.",0
"The overall feeling is simply of a larger, more luxurious car.",0
I felt more cosseted than connected.,0
"For those who really like to make a car dance, and I am among these, Id still recommend finding the additional cash for the BMW.",0
But most people shopping these cars will find the Acuras chassis more than sufficient for how they typically drive.,0
I do not think most luxury coupe buyers will be troubled by the major fault I had with the car: its steering.,1
"When the car is driven in a relaxed manner, the steering feels pretty good, with a desirable amount of heft ( if not exactly road feel ) once the car exceeds parking lot speeds.",1
"But when the car is driven in a spirited manner, steering feel jumps all over the map, going heavy, then light, then suddenly heavy again, sometimes within the span of a few seconds.",0
"While this poses no safety issues, it detracts from the feel of the road desired from the steering of a drivers car.",0
"Over most surfaces the CL Type-S rides quite well, especially considering the capabilities of its chassis.",0
The only exception I noticed was some jitteriness over slightly imperfect surfaces.,0
Ive noticed this characteristic in some other cars with low-profile tires.,0
I personally feel this is an unnecessary trade-off to make to get that final bit of steering response.,0
"The BMW 3s Ive driven rode better, even with the Sport Package.",0
I suspect the standard CL would not have this problem.,1
"I have not driven the standard CL, so I can only guess at how it compares.",1
"The extra power of the Type S sounds nice, 260 is a big number, but may not make such a large difference in actual driving.",1
"The same goes for the stiffer suspension and larger wheels of the Type S. Are the engine, suspension, and interior trim differences of the Type S worth the extra $ 2,350?",0
I urge potential buyers to drive both CLs and make this judgement for themselves.,0
Last Words,0
"In the end I was impressed by the CL Type S, but not in love with it.",1
Its a matter of personal preference.,0
"If you want a luxurious, fully loaded coupe with a lot of power and above-average handling for about $ 30k, then this is probably your best choice.",0
"It certainly appeals to me more than the Toyota Solara, its closest competitor in terms of features and price, or even some more expensive coupes such as the Volvo C70.",0
"This is a lot of coupe for the money, and it has a number of strengths.",0
"But if you want the most enjoyable coupe to drive, with other factors being secondary, the BMW, even the less powerful 325Ci, remains a better choice due to its superior steering and handling.",0
Especially if your definition of an enjoyable coupe includes a manual transmission and a tossable chassis.,0
The 2002 Acura 3.2CL is an all-around car.,0
It comes with pretty much everything standard.,0
"It's simply an extensive vehicle, that covers all aspects of driving, comfort, and convenience.",0
Exterior,0
"One look at this car, and this section of the review speaks for itself!",0
"The 2002 3.2CL undoubtedly offers a sharp, clean look to it.",0
The curves of this car truly makes one drool upon the sight of it.,0
"All in all, the car is very well modeled, especially with the dual exhaust in the back, allowing for a nice symmetry.",0
"The curvature of this car also facilitates the washing of the car, since curves are much easier to get around than corners.",0
Interior,0
One could not ask for a more well-equipped interior than the one Acura provides you with.,1
"The 3.2CL is nicely equipped with leather seats, which are quite comfortable.",0
"Because the car is coupe, the driver and passenger's seats are designed to be much more comfortable, than say - a sedan.",0
This is definitely evidenced by this vehicle.,0
The driver and passenger's seats are both somewhat deep bucket seats that allow you to sit snugly in the seats without being overly comfortable.,1
"Because I rarely have any reason to sit in the back seat of my own car, my account of the back may not be accurate.",1
"However, I have sat in the back, just not for a trip.",1
"It seems the back could use a little more leg room, but this of course only depends on the seating of the driver and/or passenger.",0
"Regardless, the seats in the back are rather comfortable.",0
I have also been told this by my passengers.,0
"Of course, if you do intend on having more than 1 passenger in your car at a time, you may want to consider the Acura TL - the CL, just with 4 doors, pretty much.",0
Handling,0
The handling on the CL is pretty decent.,0
"It drives very smoothly, but a bit heavily.",0
"If youre the type who speeds excessively around corners and enjoys being thrown into your door or armrest around these turns, you might consider another vehicle, such as the Lexus IS300, Subaru Impreza WRX, and other competing models.",0
"Of course, you do sacrifice certain features when you choose another car.",0
"Regardless, the bucket seats hold you nicely around those curves and turns and the car accelerates very smoothly, if driven regularly.",0
"It does nt exactly have the fastest acceleration of its competing models, but it s pretty decent, provided the cars weight ( 3485 lbs.",1
 with Navigation; without  3470 lbs ).,1
"All in all, the handling of this car is pretty good, unless youre one with a passion for speed and hard cornering.",0
Features,0
"The 3.2CL is equipped with pretty much everything standard, which I feel is a big advantage of owning this car.",0
"Everything from the tape deck to leather seats is in this vehicle, which make it such an enjoyment driving.",0
Navigation/GPS ( optional ),0
The GPS ( Global Positioning System ) is exceptional on this vehicle.,0
"It is a touch-screen navigation system, which makes it much more convenient than some of the current navigation systems that are on the market.",0
"Many require the use of a small knob-like object to select your choice, which can make typing in long addresses a hassle.",0
"With the CL navigation system, it s just point and shoot. ",0
"However, if you do prefer the joystick  style knob, that is available as well.",0
The navigation system is pretty concise.,0
"The female voice who assists you guides you well, and it also guides you to your preferences, which it should do anyway.",0
"In addition, you can select places by their name, and it can sort the places by distance, and so forth.",0
This is an all-around comprehensive system that covers all aspects of navigation and GPS.,0
"The navigation unit/screen also controls the A/C air flow of the car, whether or not you want A/C itself on, and the speed at which the fan is blown.",1
"This feature is perhaps not extremely necessary, but it does add a nice touch to the high-techness  of this car.",1
"Also, if you are not using the navigation or A/C controls at the time, it can display the time for you set in a background of stars.",1
"However, if you are using the navigation, it will summon the time to the bottom right corner in a small box.",0
"This is a con because there are no other points on the car in which it displays time, making the driver, who always races against time, have to make an extra effort to sometimes lean over to the right to check out the time.",1
"This may be a safety hazard, for those seconds trying to find the time should be seconds spent surveying the road ahead.",0
"Basically, navigation is all a personal choice.",0
"Its just up to the buyer whether or not he is willing to shell out approximately $ 2000 for something he or she may never need, depending on amount of travel and sense of direction.",1
"Maybe you could get it to show off, if you are the conceited type: ).",0
"Personally, I enjoy the fact that I have a screen and voice that can assist me in case I ever get lost and whatnot.",0
"Safety wise, the navigation system is nt much of a distraction, unless you are constantly looking at and inputting things into the screen.",0
"Just remember that though you may be tempted to often look down at the screen, the road is always the most important when driving, hence the female voice that assists you.",0
Music,0
The Bose system in the car ( standard ) is pretty decent.,0
"It delivers a adequate bass, though I feel it could use a little more bass  perhaps another woofer.",0
"All in all, however, the sound quality is pretty good, and is suitable for most types of music.",0
A nice feature to its sound system is the 6 disc in-dash CD changer.,0
"This is a very nice and convenient feature for you dont have to go to the trunk to change the CDs, like in many other CD equipped vehicles.",0
"Overall, Bose equips the CL with a pretty nice system, though a pinch of bass could always be added.",0
Additional Features,0
TCS  Traction Control System  This feature keeps your car straight  and not sliding and spinning after those fast sharp curves.,1
"TCS, or others like it, with other cars, should always be considered when purchasing any vehicle.",0
"Its a large safety factor nowadays, and it could save your life one day when youre supposed to be spinning 360s, but you simply fishtail a bit.",0
Automatic Seats  This is a very nice feature.,0
"Because this car is a coupe and it seats 4, it is pretty obvious that the front seats have to move forward in order for the rear passengers to get in the vehicle.",0
This is true in any coupe that seats more than the driver and passenger.,0
"However, most of the time, you have to lift up a lever near the bottom of the seat and manually push it forward.",0
Not the case with the CL.,1
"In the CL, you simply give the lever on the side of the seat a little push, and the seatback will fold down, and the seat will come forward automatically, giving the rear passengers entry.",0
"Then, after the rear passengers are in, you simply push the seatback back, and the seat moves back to its original position.",0
"This function is very nifty, efficient, and saves the energy of those who constantly have multiple passengers.",0
"Sequential SportShift  Many current cars now carry this feature, though each has its own name.",0
"Its for the driver who has no interest in learning how to drive manual transmission, or the one who prefers automatic, but likes the feel of a manual.",1
"I personally have never driven a manual, but people who have say the SportShift is nothing like driving real manual.",1
It seems like its just a cool little useless feature that can give the driver a bit of power when he or she downshifts.,0
"I personally have not really had the chance to take a ride in SportShift mode, but when I do, I will post an update!",1
"Sure, the CL has SportShift, but it lacks the manual transmission, desired by those hardcore  drivers who really like to get the most from a car.",0
"Steering wheel buttons - To keep the driver focused on the road and not the buttons throughout the car, audio buttons that control volume and tracks ( CDs ) or stations ( radio ) are easily accessible by clicking the buttons mounted on the steering wheel that can change audio.",1
